iter	Passed	Remaining
0	226	67664
1	234	34922
2	246	24418
3	258	19139
4	270	15968
5	284	13948
6	305	12806
7	320	11691
8	334	10807
9	347	10085
10	361	9499
11	375	9012
12	396	8752
13	410	8390
14	455	8651
15	472	8378
16	493	8217
17	508	7967
18	530	7849
19	571	8002
20	606	8055
21	640	8097
22	676	8150
23	702	8076
24	743	8182
25	759	7998
26	824	8337
27	861	8364
28	885	8271
29	921	8292
30	934	8108
31	949	7949
32	984	7963
33	1021	7987
34	1055	7990
35	1073	7875
36	1110	7892
37	1152	7949
38	1189	7959
39	1209	7861
40	1247	7879
41	1285	7893
42	1324	7915
43	1337	7783
44	1374	7786
45	1408	7775
46	1443	7770
47	1456	7645
48	1492	7646
49	1532	7660
50	1567	7654
51	1602	7644
52	1638	7638
53	1673	7625
54	1708	7609
55	1744	7600
56	1782	7598
57	1795	7492
58	1830	7477
59	1843	7374
60	1856	7273
61	1892	7264
62	1906	7173
63	1945	7173
64	1981	7164
65	2017	7154
66	2057	7155
67	2071	7067
68	2085	6982
69	2121	6970
70	2158	6962
71	2176	6893
72	2196	6829
73	2209	6746
74	2245	6736
75	2281	6723
76	2293	6642
77	2332	6639
78	2367	6624
79	2404	6612
80	2440	6598
81	2454	6525
82	2490	6510
83	2525	6493
84	2562	6481
85	2596	6462
86	2636	6454
87	2672	6438
88	2707	6419
89	2747	6410
90	2782	6391
91	2818	6371
92	2853	6351
93	2888	6330
94	2926	6316
95	2962	6294
96	2997	6272
97	3034	6254
98	3069	6232
99	3104	6209
100	3141	6188
101	3177	6168
102	3218	6155
103	3253	6131
104	3291	6112
105	3326	6088
106	3364	6068
107	3401	6046
108	3436	6022
109	3473	5999
110	3507	5972
111	3541	5945
112	3578	5922
113	3615	5899
114	3650	5873
115	3685	5845
116	3723	5824
117	3761	5801
118	3801	5781
119	3840	5761
120	3877	5736
121	3914	5711
122	3949	5682
123	3989	5662
124	4026	5636
125	4060	5607
126	4095	5579
127	4131	5551
128	4166	5523
129	4202	5496
130	4238	5468
131	4275	5441
132	4315	5418
133	4351	5390
134	4385	5360
135	4419	5329
136	4456	5302
137	4490	5271
138	4526	5242
139	4561	5213
140	4600	5188
141	4636	5158
142	4671	5129
143	4705	5098
144	4742	5069
145	4777	5039
146	4814	5010
147	4849	4980
148	4886	4952
149	4922	4922
150	4959	4893
151	4993	4862
152	5030	4833
153	5068	4804
154	5102	4773
155	5138	4743
156	5177	4715
157	5212	4684
158	5246	4652
159	5281	4621
160	5317	4591
161	5354	4561
162	5389	4529
163	5424	4498
164	5459	4466
165	5494	4435
166	5528	4402
167	5567	4374
168	5604	4343
169	5639	4312
170	5674	4280
171	5711	4250
172	5745	4217
173	5782	4187
174	5817	4155
175	5854	4124
176	5890	4093
177	5925	4061
178	5959	4028
179	5995	3996
180	6030	3964
181	6065	3932
182	6102	3901
183	6137	3869
184	6174	3838
185	6208	3805
186	6241	3771
187	6280	3741
188	6314	3708
189	6351	3676
190	6386	3644
191	6422	3612
192	6455	3579
193	6491	3546
194	6526	3514
195	6563	3482
196	6599	3450
197	6634	3417
198	6669	3384
199	6705	3352
200	6739	3319
201	6774	3286
202	6809	3253
203	6847	3222
204	6883	3190
205	6920	3157
206	6956	3125
207	6992	3092
208	7027	3059
209	7061	3026
210	7096	2993
211	7131	2960
212	7167	2927
213	7201	2893
214	7235	2860
215	7273	2828
216	7310	2795
217	7344	2762
218	7378	2729
219	7415	2696
220	7449	2662
221	7483	2629
222	7520	2596
223	7556	2563
224	7592	2530
225	7626	2497
226	7663	2464
227	7698	2431
228	7738	2399
229	7776	2366
230	7810	2332
231	7847	2300
232	7883	2266
233	7919	2233
234	7956	2200
235	7993	2167
236	8030	2134
237	8064	2100
238	8099	2067
239	8135	2033
240	8170	2000
241	8205	1966
242	8239	1932
243	8275	1899
244	8311	1865
245	8347	1832
246	8381	1798
247	8417	1764
248	8452	1731
249	8487	1697
250	8521	1663
251	8560	1630
252	8599	1597
253	8635	1563
254	8671	1530
255	8708	1496
256	8743	1462
257	8778	1429
258	8813	1395
259	8850	1361
260	8884	1327
261	8919	1293
262	8955	1259
263	8991	1226
264	9028	1192
265	9063	1158
266	9098	1124
267	9133	1090
268	9169	1056
269	9203	1022
270	9239	988
271	9274	954
272	9312	921
273	9348	887
274	9398	854
275	9450	821
276	9499	788
277	9548	755
278	9582	721
279	9618	687
280	9652	652
281	9690	618
282	9726	584
283	9762	550
284	9797	515
285	9834	481
286	9873	447
287	9908	412
288	9946	378
289	9981	344
290	10016	309
291	10052	275
292	10087	241
293	10122	206
294	10157	172
295	10193	137
296	10230	103
297	10265	68
298	10300	34
299	10337	0
